,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
22568,PER,South America,Peru,2020-07-20,353590.0,4090.0,13187.0,189.0,10723.998,124.045,399.94699999999995,5.732,326510.0,,9.902999999999999,,4949.0,0.15,people tested,,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74
22767,PHL,Asia,Philippines,2020-07-20,67456.0,2152.0,1831.0,58.0,615.581,19.637999999999998,16.709,0.529,,,,,,,,,109581085.0,351.87300000000005,25.2,4.803,2.661,7599.188,,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23
22905,POL,Europe,Poland,2020-07-20,40104.0,358.0,1624.0,6.0,1059.646,9.459,42.91,0.159,1971736.0,15464.0,52.098,0.409,22624.0,0.598,samples tested,,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73
23047,PRT,Europe,Portugal,2020-07-20,48636.0,246.0,1689.0,5.0,4769.775,24.125,165.642,0.49,,,,,,,,,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05
23162,PRI,North America,Puerto Rico,2020-07-20,12063.0,610.0,178.0,0.0,4216.594,213.22400000000002,62.218999999999994,0.0,,,,,,,,,2860840.0,376.23199999999997,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1
23361,QAT,Asia,Qatar,2020-07-20,106648.0,340.0,157.0,3.0,37016.931000000004,118.012,54.494,1.041,446036.0,4336.0,154.817,1.505,4196.0,1.456,people tested,,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23
23562,ROU,Europe,Romania,2020-07-20,37458.0,767.0,2026.0,17.0,1947.116,39.87,105.314,0.884,,,,,,,,,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05
23765,RUS,Europe,Russia,2020-07-20,771546.0,0.0,12342.0,0.0,5286.935,0.0,84.572,0.0,,,,,,,,,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58
23893,RWA,Africa,Rwanda,2020-07-20,1582.0,43.0,5.0,0.0,122.141,3.32,0.386,0.0,,,,,,,,,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02
24459,SMR,Europe,San Marino,2020-07-20,714.0,0.0,42.0,0.0,21038.363999999998,0.0,1237.5510000000002,0.0,,,,,,,,,33938.0,556.6669999999999,,,,56861.47,,,5.64,,,,3.8,84.97
24562,STP,Africa,Sao Tome and Principe,2020-07-20,746.0,3.0,14.0,0.0,3403.89,13.689,63.88,0.0,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39
24699,SAU,Asia,Saudi Arabia,2020-07-20,250920.0,2504.0,2486.0,39.0,7207.473000000001,71.925,71.408,1.12,2719136.0,57498.0,78.105,1.652,55936.0,1.607,units unclear,,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13
24840,SEN,Africa,Senegal,2020-07-20,8810.0,141.0,167.0,4.0,526.161,8.421,9.974,0.239,,,,,,,,,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,241.21900000000002,2.42,0.4,16.6,20.859,,67.94
24986,SRB,Europe,Serbia,2020-07-20,20894.0,396.0,472.0,11.0,3070.572,58.196000000000005,69.365,1.617,558440.0,8349.0,82.068,1.227,8585.0,1.262,people tested,,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0
25225,SLE,Africa,Sierra Leone,2020-07-20,1711.0,10.0,65.0,0.0,214.49200000000002,1.254,8.148,0.0,,,,,,,,,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7
25428,SGP,Asia,Singapore,2020-07-20,47912.0,257.0,27.0,0.0,8189.605,43.928999999999995,4.615,0.0,,,,,,,,,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62
25545,SXM,North America,Sint Maarten (Dutch part),2020-07-20,79.0,0.0,15.0,0.0,1842.265,0.0,349.79699999999997,0.0,,,,,,,,,42882.0,1209.088,,,,36327.232,,,,,,,,78.95
25680,SVK,Europe,Slovakia,2020-07-20,1979.0,3.0,28.0,0.0,362.478,0.5489999999999999,5.129,0.0,,,,,,,,,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,287.959,7.29,23.1,37.7,,5.82,77.54
25817,SVN,Europe,Slovenia,2020-07-20,1946.0,6.0,111.0,0.0,936.058,2.886,53.393,0.0,,,,,,,,,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32
25943,SOM,Africa,Somalia,2020-07-20,3119.0,8.0,93.0,0.0,196.247,0.503,5.852,0.0,,,,,,,,,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,365.769,6.05,,,9.831,0.9,57.4
26108,ZAF,Africa,South Africa,2020-07-20,364328.0,13449.0,5033.0,85.0,6142.911,226.763,84.861,1.433,,,,,,,,,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
26311,KOR,Asia,South Korea,2020-07-20,13771.0,26.0,296.0,1.0,268.60200000000003,0.507,5.773,0.02,,,,,,,,,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03
26417,SSD,Africa,South Sudan,2020-07-20,2200.0,9.0,43.0,0.0,196.53900000000002,0.804,3.841,0.0,,,,,,,,,11193729.0,,19.2,3.4410000000000003,2.032,1569.888,,280.775,10.43,,,,,57.85
26813,LKA,Asia,Sri Lanka,2020-07-20,2724.0,20.0,11.0,0.0,127.211,0.934,0.514,0.0,,,,,,,,,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98
26942,SDN,Africa,Sudan,2020-07-20,10762.0,80.0,680.0,7.0,245.43200000000002,1.824,15.508,0.16,,,,,,,,,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,431.38800000000003,15.67,,,23.436999999999998,0.8,65.31
27065,SUR,South America,Suriname,2020-07-20,1029.0,28.0,21.0,1.0,1754.075,47.73,35.797,1.705,,,,,,,,86.11,586634.0,3.612,29.6,6.933,4.229,13767.118999999999,,258.314,12.54,7.4,42.9,67.779,3.1,71.68
27193,SWZ,Africa,Swaziland,2020-07-20,1793.0,64.0,21.0,0.0,1545.471,55.165,18.101,0.0,,,,,,,,,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19
27396,SWE,Europe,Sweden,2020-07-20,77281.0,0.0,5619.0,0.0,7652.137,0.0,556.377,0.0,,,,,,,,38.89,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8
27599,CHE,Europe,Switzerland,2020-07-20,33504.0,98.0,1687.0,0.0,3871.228,11.323,194.925,0.0,,,,,,,,36.57,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78
27719,SYR,Asia,Syria,2020-07-20,496.0,0.0,25.0,0.0,28.342,0.0,1.429,0.0,,,,,,,,,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7
27921,TWN,Asia,Taiwan,2020-07-20,455.0,0.0,7.0,0.0,19.104,0.0,0.294,0.0,,,,,,,,,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46
28002,TJK,Asia,Tajikistan,2020-07-20,6878.0,44.0,57.0,0.0,721.143,4.613,5.976,0.0,,,,,,,,,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.69800000000004,7.11,,,72.704,4.8,71.1
28128,TZA,Africa,Tanzania,2020-07-20,509.0,0.0,21.0,0.0,8.521,0.0,0.35200000000000004,0.0,,,,,,,,,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46
28324,THA,Asia,Thailand,2020-07-20,3250.0,1.0,58.0,0.0,46.562,0.013999999999999999,0.831,0.0,,,,,,,,,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15
28584,TGO,Africa,Togo,2020-07-20,774.0,8.0,15.0,0.0,93.493,0.966,1.8119999999999998,0.0,,,,,,,,,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04
28714,TTO,North America,Trinidad and Tobago,2020-07-20,137.0,0.0,8.0,0.0,97.89299999999999,0.0,5.716,0.0,,,,,,,,,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51
28855,TUN,Africa,Tunisia,2020-07-20,1374.0,26.0,50.0,0.0,116.257,2.2,4.231,0.0,,,,,,,,,11818618.0,74.22800000000001,32.7,8.001,5.075,10849.296999999999,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7
28984,TUR,Asia,Turkey,2020-07-20,219641.0,924.0,5491.0,16.0,2604.262,10.956,65.10600000000001,0.19,4316781.0,43404.0,51.184,0.515,42119.0,0.499,tests performed,,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69
29102,TCA,North America,Turks and Caicos Islands,2020-07-20,81.0,6.0,2.0,0.0,2092.05,154.967,51.656000000000006,0.0,,,,,,,,,38718.0,37.312,,,,,,,,,,,,80.22
29352,UKR,Europe,Ukraine,2020-07-20,58842.0,731.0,1485.0,8.0,1345.4589999999998,16.715,33.955,0.183,,,,,,,,,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06
29555,ARE,Asia,United Arab Emirates,2020-07-20,56922.0,211.0,339.0,1.0,5755.278,21.334,34.275999999999996,0.10099999999999999,4536152.0,27224.0,458.642,2.753,45815.0,4.632,samples tested,,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97
29758,GBR,Europe,United Kingdom,2020-07-20,294792.0,726.0,45300.0,27.0,4342.456,10.694,667.295,0.39799999999999996,,,,,,,,,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32
29961,USA,North America,United States,2020-07-20,3773260.0,61796.0,140534.0,415.0,11399.486,186.69299999999998,424.57099999999997,1.254,,,,,,,,57.87,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
30079,VIR,North America,United States Virgin Islands,2020-07-20,297.0,0.0,6.0,0.0,2844.2009999999996,0.0,57.458999999999996,0.0,,,,,,,,,104423.0,306.48,42.2,18.601,10.799000000000001,,,273.67,12.26,,,,,80.58
30207,URY,South America,Uruguay,2020-07-20,1054.0,10.0,33.0,0.0,303.421,2.8789999999999996,9.5,0.0,,,,,,,,,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91
30334,UZB,Asia,Uzbekistan,2020-07-20,16966.0,537.0,88.0,4.0,506.914,16.045,2.6289999999999996,0.12,,,,,,,,,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,,724.4169999999999,7.57,1.3,24.7,,4.0,71.72
30589,VEN,South America,Venezuela,2020-07-20,11891.0,408.0,112.0,2.0,418.168,14.347999999999999,3.9389999999999996,0.07,,,,,,,,,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06
30878,ESH,Africa,Western Sahara,2020-07-20,766.0,0.0,1.0,0.0,1282.373,0.0,1.6740000000000002,0.0,,,,,,,,,597330.0,,28.4,,1.38,,,,,,,,,70.26
30980,YEM,Asia,Yemen,2020-07-20,1606.0,25.0,445.0,2.0,53.846000000000004,0.838,14.92,0.067,,,,,,,,,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12
31104,ZMB,Africa,Zambia,2020-07-20,2980.0,0.0,109.0,0.0,162.09799999999998,0.0,5.928999999999999,0.0,,,,,,,,,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89
31226,ZWE,Africa,Zimbabwe,2020-07-20,1611.0,133.0,25.0,0.0,108.39,8.948,1.682,0.0,,,,,,,,,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49
31429,OWID_WRL,,World,2020-07-20,14476729.0,207701.0,605979.0,3942.0,1857.229,26.646,77.741,0.506,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58
